start_time,finish_time,emotion_level,,,
3:40,3:44,2,,0:04,0:04
3:41,3:45,2,,,0:04
3:42,3:46,2,,,0:04
3:43,3:47,2,,,0:04
3:44,3:48,2,,,0:04
3:45,3:49,2,,,0:04
3:46,3:50,2,,,0:04
3:47,3:51,2,,,0:04
3:48,3:52,2,,,0:04
3:49,3:53,2,,,0:04
3:50,3:54,2,,,0:04
3:51,3:55,2,,,0:04
3:52,3:56,2,,,0:04
3:53,3:57,2,,,0:04
3:54,3:58,2,,,0:04
3:55,3:59,2,,,0:04
3:56,4:00,2,,,0:04
3:57,4:01,2,,,0:04
3:58,4:02,2,,,0:04
3:59,4:03,2,,,0:04
4:00,4:04,2,,,0:04
4:01,4:05,2,,,0:04
4:02,4:06,2,,,0:04
4:03,4:07,2,,,0:04
4:04,4:08,2,,,0:04
4:05,4:09,2,,,0:04
4:06,4:10,2,,,0:04
4:07,4:11,2,,,0:04
4:08,4:12,2,,,0:04
4:09,4:13,2,,,0:04
4:10,4:14,2,,,0:04
4:11,4:15,2,,,0:04
4:12,4:16,2,,,0:04
4:13,4:17,2,,,0:04
4:14,4:18,2,,,0:04
4:15,4:19,2,,,0:04
4:22,4:26,1,,,0:04
4:23,4:27,1,,,0:04
4:24,4:28,1,,,0:04
4:33,4:37,4,,,0:04
4:34,4:38,4,,,0:04
4:35,4:39,4,,,0:04
4:36,4:40,4,,,0:04
4:37,4:41,4,,,0:04
4:38,4:42,4,,,0:04
4:39,4:43,4,,,0:04
4:40,4:44,4,,,0:04
4:41,4:45,4,,,0:04
4:42,4:46,4,,,0:04
4:43,4:47,4,,,0:04
4:44,4:48,4,,,0:04
4:45,4:49,4,,,0:04
4:46,4:50,4,,,0:04
4:47,4:51,4,,,0:04
4:48,4:52,4,,,0:04
4:49,4:53,4,,,0:04
4:50,4:54,4,,,0:04
5:00,5:04,2,,,0:04
5:01,5:05,2,,,0:04
5:02,5:06,2,,,0:04
5:03,5:07,2,,,0:04
5:04,5:08,2,,,0:04
5:05,5:09,2,,,0:04
5:06,5:10,2,,,0:04
5:07,5:11,2,,,0:04
5:08,5:12,2,,,0:04
5:09,5:13,2,,,0:04
5:10,5:14,2,,,0:04
5:11,5:15,2,,,0:04
5:12,5:16,2,,,0:04
5:13,5:17,2,,,0:04
5:14,5:18,2,,,0:04
5:15,5:19,2,,,0:04
5:16,5:20,2,,,0:04
5:17,5:21,2,,,0:04
5:18,5:22,2,,,0:04
5:19,5:23,2,,,0:04
5:20,5:24,2,,,0:04
5:21,5:25,2,,,0:04
5:22,5:26,2,,,0:04
5:23,5:27,2,,,0:04
5:24,5:28,2,,,0:04
5:25,5:29,2,,,0:04
5:26,5:30,2,,,0:04
5:27,5:31,2,,,0:04
5:28,5:32,2,,,0:04
5:29,5:33,2,,,0:04
5:30,5:34,2,,,0:04
5:31,5:35,2,,,0:04
5:32,5:36,2,,,0:04
5:33,5:37,2,,,0:04
5:34,5:38,2,,,0:04
5:35,5:39,2,,,0:04
5:36,5:40,2,,,0:04
5:37,5:41,2,,,0:04
5:38,5:42,2,,,0:04
5:39,5:43,2,,,0:04
5:40,5:44,2,,,0:04
5:41,5:45,2,,,0:04
5:42,5:46,2,,,0:04
5:43,5:47,2,,,0:04
5:44,5:48,2,,,0:04
5:45,5:49,2,,,0:04
5:46,5:50,2,,,0:04
5:47,5:51,2,,,0:04
5:48,5:52,2,,,0:04
5:49,5:53,2,,,0:04
5:50,5:54,2,,,0:04
5:51,5:55,2,,,0:04
5:52,5:56,2,,,0:04
5:53,5:57,2,,,0:04
5:54,5:58,2,,,0:04
5:55,5:59,2,,,0:04
5:56,6:00,2,,,0:04
5:57,6:01,2,,,0:04
5:58,6:02,2,,,0:04
5:59,6:03,2,,,0:04
6:00,6:04,2,,,0:04
