start_time,finish_time,emotion_level,,,
3:43,3:47,4,,0:04,0:04
3:44,3:48,4,,,0:04
3:48,3:52,4,,,0:04
3:49,3:53,4,,,0:04
3:50,3:54,4,,,0:04
4:00,4:04,3,,,0:04
4:01,4:05,3,,,0:04
4:02,4:06,3,,,0:04
4:03,4:07,3,,,0:04
4:16,4:20,2,,,0:04
4:17,4:21,2,,,0:04
4:25,4:29,2,,,0:04
4:39,4:43,2,,,0:04
4:40,4:44,2,,,0:04
4:41,4:45,2,,,0:04
4:42,4:46,2,,,0:04
4:43,4:47,2,,,0:04
4:44,4:48,2,,,0:04
4:45,4:49,2,,,0:04
4:46,4:50,2,,,0:04
4:47,4:51,2,,,0:04
4:48,4:52,2,,,0:04
4:49,4:53,2,,,0:04
4:50,4:54,2,,,0:04
5:01,5:05,4,,,0:04
5:02,5:06,4,,,0:04
5:03,5:07,4,,,0:04
5:06,5:10,4,,,0:04
5:07,5:11,4,,,0:04
5:08,5:12,4,,,0:04
5:09,5:13,4,,,0:04
5:10,5:14,4,,,0:04
5:11,5:15,4,,,0:04
5:12,5:16,4,,,0:04
5:13,5:17,4,,,0:04
5:14,5:18,4,,,0:04
5:15,5:19,4,,,0:04
5:16,5:20,4,,,0:04
5:17,5:21,4,,,0:04
5:30,5:34,3,,,0:04
5:31,5:35,3,,,0:04
5:32,5:36,3,,,0:04
5:33,5:37,3,,,0:04
5:34,5:38,3,,,0:04
5:35,5:39,3,,,0:04
5:36,5:40,3,,,0:04
5:37,5:41,3,,,0:04
5:38,5:42,3,,,0:04
5:39,5:43,3,,,0:04
5:40,5:44,3,,,0:04
5:41,5:45,3,,,0:04
5:49,5:53,1,,,0:04
5:50,5:54,1,,,0:04
5:51,5:55,1,,,0:04
5:52,5:56,1,,,0:04
5:53,5:57,1,,,0:04
5:54,5:58,1,,,0:04
5:55,5:59,1,,,0:04
5:56,6:00,1,,,0:04
5:57,6:01,1,,,0:04
5:58,6:02,1,,,0:04
6:09,6:13,3,,,0:04
6:10,6:14,3,,,0:04
6:11,6:15,3,,,0:04
6:12,6:16,3,,,0:04
6:13,6:17,3,,,0:04
6:14,6:18,3,,,0:04
6:15,6:19,3,,,0:04
6:16,6:20,3,,,0:04
6:17,6:21,3,,,0:04
6:18,6:22,3,,,0:04
6:19,6:23,3,,,0:04
6:20,6:24,3,,,0:04
6:21,6:25,3,,,0:04
6:24,6:28,3,,,0:04
6:25,6:29,3,,,0:04
6:28,6:32,3,,,0:04
6:29,6:33,3,,,0:04
6:37,6:41,4,,,0:04
6:38,6:42,4,,,0:04
6:39,6:43,4,,,0:04
6:40,6:44,4,,,0:04
6:41,6:45,4,,,0:04
6:42,6:46,4,,,0:04
6:52,6:56,2,,,0:04
6:53,6:57,2,,,0:04
6:54,6:58,2,,,0:04
6:55,6:59,2,,,0:04
7:03,7:07,2,,,0:04
7:04,7:08,2,,,0:04
7:05,7:09,2,,,0:04
7:06,7:10,2,,,0:04
7:07,7:11,2,,,0:04
7:08,7:12,2,,,0:04
7:09,7:13,2,,,0:04
7:10,7:14,2,,,0:04
7:11,7:15,2,,,0:04
7:12,7:16,2,,,0:04
7:15,7:19,2,,,0:04
7:16,7:20,2,,,0:04
7:17,7:21,2,,,0:04
7:20,7:24,2,,,0:04
7:21,7:25,2,,,0:04
7:22,7:26,2,,,0:04
7:23,7:27,2,,,0:04
7:24,7:28,2,,,0:04
