accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
10142.65,343.62,1621.7666666666667,-63.5275,163.64,-3.8641666666666667,30412.960833333284,16355.895599999987,165653.59388888872,124827.33257708333,325304.64540000045,8017.8373826388715,11084,904,3217,1548,3073,351,9279,-266,443,-1835,-1914,-483,18.377321603128053,47.410291521396246,1.3685239491691104,213.32681909525573
10092.406666666666,388.1325,2161.0491666666667,-57.34583333333333,32.2375,6.1925,15934.436288888892,9236.989943750015,74879.3417493057,69935.45623263878,112649.20776041703,2191.9287770833394,10788,792,3031,1103,1805,211,9475,-2,1049,-1073,-1024,-190,17.59530791788856,35.71373966429388,1.3685239491691104,143.13924515951916
10126.939166666667,410.1066666666667,1811.8575,-73.885,158.44916666666666,7.21,10864.778799305534,8336.125288888901,146124.20386041692,111899.93344166633,278393.63241597184,2796.5558999999785,10586,762,2870,1316,2140,211,9773,59,624,-1055,-1024,-178,0.19550342130987292,31.739641691638464,0.39100684261974583,180.43610896039584
10132.908333333333,579.2808333333334,1633.9408333333333,-56.748333333333335,78.00166666666667,0.5775,8269.669930555567,21521.401965972236,87887.45899930559,84095.92333055532,138971.76499722205,19761.543993750005,10451,1077,2316,1426,1445,522,9817,-56,675,-1457,-975,-465,5.865102639296188,26.398753862673917,0.5865102639296187,160.10806125182683
10127.510833333334,574.9375,1693.6025,-78.01583333333333,118.48833333333333,10.3125,12413.331549305562,11350.316927083333,103519.01116041673,81559.09724930552,188537.31486388904,6306.07484375,10564,921,2592,767,2207,333,9729,252,797,-1079,-1133,-258,4.887585532746823,39.8275249283521,0.5865102639296187,205.9022698962505
10082.7425,466.84166666666664,2174.4466666666667,-32.846666666666664,-15.9875,4.543333333333333,14540.751193749995,7470.984930555558,154429.58715555564,86280.74815555578,270943.39901041583,3215.003122222234,10612,767,3141,944,2616,284,9580,140,1168,-1097,-1097,-239,18.963831867057674,31.00595855009837,1.1730205278592374,201.44748438875163
10107.199166666667,711.06,1853.4341666666667,-51.4325,45.020833333333336,6.638333333333334,8058.177832638895,14914.024733333317,57281.23899930558,86824.53211041629,65234.22539930509,7686.585863888907,10556,1214,2589,1072,951,266,9714,232,1127,-915,-688,-264,6.647116324535679,33.11483969920747,2.7370478983382207,96.93183080496482
10103.295,736.2916666666666,1837.4683333333332,-49.471666666666664,55.18083333333333,-5.636666666666667,11392.142974999999,14662.976597222285,70938.56233055533,103866.72586388898,155685.8431326386,10235.871322222252,10508,1334,2746,853,1811,284,9648,164,1024,-1707,-1792,-416,5.669599217986314,27.189701454167015,0.39100684261974583,192.969427178242
10129.41,608.5683333333334,1625.9716666666666,-64.39666666666666,82.48666666666666,8.491666666666667,7547.373566666673,13011.645330555551,72788.21086388876,98392.03932222226,166361.86315555545,10344.69659722226,10520,970,2477,1353,1512,388,9812,30,605,-1341,-725,-331,6.0606060606060606,27.882975053742715,0.39100684261974583,225.06320912767947
10133.280833333334,754.9983333333333,1257.1758333333332,-49.909166666666664,165.2125,9.784166666666666,14025.26029930555,14239.709997222162,188020.06824930527,226085.02591597225,272279.4340104183,7643.544249305556,10583,1219,2228,3005,3134,290,9746,137,-90,-2268,-1146,-434,6.451612903225806,40.548316847454295,0.39100684261974583,325.48913084727354
