,start_time,finish_time,s,emotion_level,subject
0,00:00:00.000,00:00:02.620,s,,
1,00:00:02.620,00:00:02.760,x,,
2,00:00:02.760,00:00:03.200,s,,
3,00:00:03.200,00:00:03.300,x,,
4,00:00:03.300,00:00:04.420,s,,
5,00:00:04.420,00:00:08.060,x,,
6,00:00:08.060,00:00:08.940,s,,
7,00:00:08.940,00:00:10.960,x,,
8,00:00:10.960,00:00:11.900,s,,
9,00:00:11.900,00:00:15.240,x,,
10,00:00:15.240,00:00:19.420,s,,
11,00:00:19.420,00:00:19.940,x,,
12,00:00:19.940,00:00:20.500,s,,
13,00:00:20.500,00:00:20.640,x,,
14,00:00:20.640,00:00:22.720,s,,
15,00:00:22.720,00:00:23.000,x,,
16,00:00:23.000,00:00:23.540,s,,
17,00:00:23.540,00:00:25.300,x,,
18,00:00:25.300,00:00:26.460,s,,
19,00:00:26.460,00:00:26.740,x,,
20,00:00:26.740,00:00:27.860,s,,
21,00:00:27.860,00:00:28.500,x,,
22,00:00:28.500,00:00:29.060,s,,
23,00:00:29.060,00:00:30.980,x,,
24,00:00:30.980,00:00:34.180,s,,
25,00:00:34.180,00:00:34.300,x,,
26,00:00:34.300,00:00:35.140,s,,
27,00:00:35.140,00:00:36.460,x,,
28,00:00:36.460,00:00:37.500,s,,
29,00:00:37.500,00:00:38.860,x,,
30,00:00:38.860,00:00:40.560,s,,
31,00:00:40.560,00:00:40.840,x,,
32,00:00:40.840,00:00:44.260,s,,
33,00:00:44.260,00:00:47.380,x,,
34,00:00:47.380,00:00:48.260,s,,
35,00:00:48.260,00:00:50.860,x,,
36,00:00:50.860,00:00:51.240,s,,
37,00:00:51.240,00:00:51.300,x,,
38,00:00:51.300,00:00:52.820,s,,
39,00:00:52.820,00:00:53.400,x,,
40,00:00:53.400,00:00:54.620,s,,
41,00:00:54.620,00:00:56.900,x,,
42,00:00:56.900,00:01:07.940,s,,
43,00:01:07.940,00:01:09.820,x,,
44,00:01:09.820,00:01:11.560,s,,
45,00:01:11.560,00:01:12.880,x,,
46,00:01:12.880,00:01:13.560,s,,
47,00:01:13.560,00:01:14.100,x,,
48,00:01:14.100,00:01:14.620,s,,
49,00:01:14.620,00:01:15.600,x,,
50,00:01:15.600,00:01:16.080,s,,
51,00:01:16.080,00:01:16.320,x,,
52,00:01:16.320,00:01:16.920,s,,
53,00:01:16.920,00:01:16.980,x,,
54,00:01:16.980,00:01:23.800,s,,
55,00:01:23.800,00:01:25.500,x,,
56,00:01:25.500,00:01:26.260,s,,
57,00:01:26.260,00:01:31.340,x,,
58,00:01:31.340,00:01:32.440,s,,
59,00:01:32.440,00:01:32.500,x,,
60,00:01:32.500,00:01:33.060,s,,
61,00:01:33.060,00:01:34.440,x,,
62,00:01:34.440,00:02:11.920,s,,
63,00:02:11.920,00:02:12.120,x,,
64,00:02:12.120,00:02:16.940,s,,
65,00:02:16.940,00:02:17.080,x,,
66,00:02:17.080,00:02:17.500,s,,
67,00:02:17.500,00:02:19.280,x,,
68,00:02:19.280,00:02:19.900,s,,
69,00:02:19.900,00:02:22.240,x,,
70,00:02:22.240,00:02:22.760,s,,
71,00:02:22.760,00:02:25.380,x,,
72,00:02:25.380,00:02:25.920,s,,
73,00:02:25.920,00:02:26.700,x,,
74,00:02:26.700,00:02:27.580,s,,
75,00:02:27.580,00:02:29.820,x,,
76,00:02:29.820,00:02:30.440,s,,
77,00:02:30.440,00:02:31.860,x,,
78,00:02:31.860,00:02:37.660,s,,
79,00:02:37.660,00:02:37.760,x,,
80,00:02:37.760,00:02:38.360,s,,
81,00:02:38.360,00:02:38.440,x,,
82,00:02:38.440,00:02:39.580,s,,
83,00:02:39.580,00:02:39.640,x,,
84,00:02:39.640,00:02:42.560,s,,
85,00:02:42.560,00:02:42.720,x,,
86,00:02:42.720,00:02:43.220,s,,
87,00:02:43.220,00:02:43.300,x,,
88,00:02:43.300,00:02:45.740,s,,
89,00:02:45.740,00:02:45.800,x,,
90,00:02:45.800,00:02:46.580,s,,
91,00:02:46.580,00:02:47.900,x,,
92,00:02:47.900,00:02:48.740,s,,
93,00:02:48.740,00:02:48.960,x,,
94,00:02:48.960,00:02:49.560,s,,
95,00:02:49.560,00:02:50.720,x,,
96,00:02:50.720,00:02:51.140,s,,
97,00:02:51.140,00:02:51.220,x,,
98,00:02:51.220,00:02:52.880,s,,
99,00:02:52.880,00:02:53.040,x,,
100,00:02:53.040,00:02:53.460,s,,
101,00:02:53.460,00:02:54.420,x,,
102,00:02:54.420,00:02:55.640,s,,
103,00:02:55.640,00:02:56.040,x,,
104,00:02:56.040,00:02:56.640,s,,
105,00:02:56.640,00:02:59.120,x,,
106,00:02:59.120,00:03:01.860,s,,
107,00:03:01.860,00:03:02.180,x,,
108,00:03:02.180,00:03:02.580,s,,
109,00:03:02.580,00:03:03.920,x,,
110,00:03:03.920,00:03:04.780,s,,
111,00:03:04.780,00:03:07.580,x,,
112,00:03:07.580,00:03:08.580,s,,
113,00:03:08.580,00:03:10.340,x,,
114,00:03:10.340,00:03:13.560,s,,
115,00:03:13.560,00:03:13.620,x,,
116,00:03:13.620,00:03:14.460,s,,
117,00:03:14.460,00:03:14.600,x,,
118,00:03:14.600,00:03:16.280,s,,
119,00:03:16.280,00:03:18.360,x,,
120,00:03:18.360,00:03:21.000,s,,
121,00:03:21.000,00:03:21.200,x,,
122,00:03:21.200,00:03:23.240,s,,
123,00:03:23.240,00:03:23.300,x,,
124,00:03:23.300,00:03:24.680,s,,
125,00:03:24.680,00:03:24.940,x,,
126,00:03:24.940,00:03:25.380,s,,
127,00:03:25.380,00:03:26.060,x,,
128,00:03:26.060,00:03:26.780,s,,
